Company,Website,Primary_Contact_Email,Location,LinkedIn,Active?,Notes,Contact_Count
A Taste of Excellence,taste-food.com,kaitlyn.sauers@taste-food.com,Cleveland,https://www.linkedin.com/in/kaitlyn-sauers,Active,"30+ years, Cleveland catering company, active",1
AFox Solutions,afoxsolutions.com,ledgington@americanbus.com,Cleveland,https://www.linkedin.com/in/steve-arrington,Inactive,"Located in Kentucky, NOT Cleveland - remove",1
AURA Venue CLE LLC,auravenuecle.com,hello@auravenuecle.com,Cleveland,https://www.linkedin.com/in/alicia-procello,Active,"Active wedding venue, hosting 2025 events",3
Adobe Acrobat,Needs Research,cit46532@adobe.com,Cleveland,https://www.linkedin.com/in/dale-elwell,Needs Verification,Not yet verified - requires manual check,1
AfterMath,teamaftermath.com,mmccallum@teamaftermath.com,Cleveland,https://www.linkedin.com/in/jodi-henderson-ross,Inactive,CLOSED as of 8/29/25,2
Akron AIDS Collaborative,Needs Research,stan1727@gmail.com,Akron,https://www.linkedin.com/in/keith-munnerlyn,Needs Verification,Not yet verified - requires manual check,6
Akron Pride Custom Tees,Needs Research,akronpridecustomtees@outlook.com,Akron,https://www.linkedin.com/in/akron-public,Needs Verification,Not yet verified - requires manual check,1
Akron Pride Festival,Needs Research,info@akronpridefestival.org,Akron,https://www.linkedin.com/in/erin-simonetti,Needs Verification,Not yet verified - requires manual check,3
Akron Soul Train,Needs Research,Nancy@akronsoultrain.org,Akron,https://www.linkedin.com/in/denaira-campbell,Needs Verification,Not yet verified - requires manual check,2
"Allison L. Harrison Law, LLC",Needs Research,aharrison@alharrisonlaw.com,Cleveland,https://www.linkedin.com/in/kathy-dow,Needs Verification,Not yet verified - requires manual check,1
Art by Ali Cleveland,Needs Research,ArtbyAliCleveland@yahoo.com,Cleveland,https://www.linkedin.com/in/mykel-fisher,Needs Verification,Not yet verified - requires manual check,1
Art of Sucre,artofsucre.com,hello@artofsucre.com,Cleveland,https://www.linkedin.com/in/amanda-gallitto,Active,"Akron-based cotton candy business, active",4
ArtsNow,Needs Research,nicole@artsnow.org,Cleveland,https://www.linkedin.com/in/harvir-kang,Needs Verification,Not yet verified - requires manual check,3
Assembly for the Arts,Needs Research,jeremy@assemblycle.org,Cleveland,https://www.linkedin.com/in/charli-montesino,Needs Verification,Not yet verified - requires manual check,2
AuF Drug Testing Services,Needs Research,mainoffice@aufdrugtesting.com,Cleveland,https://www.linkedin.com/in/kristina-olson,Needs Verification,Not yet verified - requires manual check,1
Axuall,axuall.com,hr@axuall.com,Cleveland,https://www.linkedin.com/in/lauranne-scharf,Active,"Cleveland healthcare tech, major 2025 Cleveland Clinic partnership",2
Azimuth Medical LLC,Needs Research,pete@azimuthmedical.com,Cleveland,https://www.linkedin.com/in/lisa-weitzman,Needs Verification,Not yet verified - requires manual check,1
B. Frohman Imaging and Design,bfimaging.com,bobbi@BFimaging.com,Cleveland,https://www.linkedin.com/in/susan-bookshar,Active,"Cleveland photography studio, 2500+ sessions, active",3
B.Riley Sober House,None,b.rileysoberhonestliving@gmail.com,Cleveland,https://www.linkedin.com/in/ayron-evans,Maybe,"LGBT recovery house, nonprofit, GuideStar shows 2022-2024 tax forms",9
BE YOU Brands,beyoubrandsolutions.com,BEYOUbrands@americanbus.com,Cleveland,https://www.linkedin.com/in/larkesha-burns,Maybe,"Grove City OH (Columbus area), not Cleveland proper",5
Baldwin Wallace LGBT Center,Needs Research,lgbt@bw.edu,Cleveland,https://www.linkedin.com/in/allen-loew,Needs Verification,Not yet verified - requires manual check,2
Bamboo Birth,Needs Research,Kristen@bamboo-birth.com,Cleveland,https://www.linkedin.com/in/mary-ann,Needs Verification,Not yet verified - requires manual check,1
Beachland Ballroom,Needs Research,cindy@beachlandballroom.com,Cleveland,https://www.linkedin.com/in/megan-laconte,Needs Verification,Not yet verified - requires manual check,1
Beck Center for the Arts,Needs Research,jgilliland@beckcenter.org,Cleveland,https://www.linkedin.com/in/justin-lepley,Needs Verification,Not yet verified - requires manual check,6
"Bellman & Associates, LLC",Needs Research,Lori@MedicareWithLori.com,Cleveland,https://www.linkedin.com/in/beth-laurel,Needs Verification,Not yet verified - requires manual check,1
Benjamin Rose,Needs Research,info@benrose.org,Cleveland,https://www.linkedin.com/in/mailey-lorio,Needs Verification,Not yet verified - requires manual check,4
Berkshire Hathaway HomeServices Professional Realty,Needs Research,alex@homesbyalexcruz.com,Cleveland,https://www.linkedin.com/in/devin-taylor,Needs Verification,Not yet verified - requires manual check,1
Berkshire Hathaway HomeServices Professional Realty - Kacey Yates Gable,Needs Research,kyates.gable@gmail.com,Cleveland,https://www.linkedin.com/in/avery-ware,Needs Verification,Not yet verified - requires manual check,1
Better Business Bureau,Needs Research,pam@cleveland.bbb.org,Cleveland,https://www.linkedin.com/in/darnell-mosses,Needs Verification,Not yet verified - requires manual check,3
Big Creek Massotherapy,Needs Research,anthony@bigcreekmassotherapy.com,Cleveland,https://www.linkedin.com/in/joni-allen,Needs Verification,Not yet verified - requires manual check,2
Birdtown Strength,Needs Research,jillian@birdtownstrength.com,Cleveland,https://www.linkedin.com/in/hannah-brisson,Needs Verification,Not yet verified - requires manual check,1
Black Transmen of Ohio - BTMOhio,Needs Research,info@btmohio.org,Cleveland,https://www.linkedin.com/in/marcia-butts,Needs Verification,Not yet verified - requires manual check,3
Blurred Lines Beauty,Needs Research,blurredlinesbeauty20@gmail.com,Cleveland,https://www.linkedin.com/in/hansen-coseo,Needs Verification,Not yet verified - requires manual check,1
BorderLight Fringe Festival,borderlightcle.org,info@borderlightcle.org,Cleveland,https://www.linkedin.com/in/cate-crouch,Active,"Annual festival, 2025 event July 16-19, active",5
"Bosco Consulting, LLC",Needs Research,jennifer@boscoconsulting.org,Cleveland,https://www.linkedin.com/in/brittany-long,Needs Verification,Not yet verified - requires manual check,1
Boss K9,Needs Research,contact@bossk9cle.com,Cleveland,https://www.linkedin.com/in/sean-morgan,Needs Verification,Not yet verified - requires manual check,1
BottleHouse Brewing Company,Needs Research,brianbenchek@gmail.com,Cleveland,https://www.linkedin.com/in/joanna-radov,Needs Verification,Not yet verified - requires manual check,1
Brewnuts,Needs Research,brewnutscle@gmail.com,Cleveland,https://www.linkedin.com/in/michelle-rock,Needs Verification,Not yet verified - requires manual check,1
"Bridgestone Americas, Inc.",Needs Research,perryheidi@bfusa.com,Cleveland,https://www.linkedin.com/in/carol-routt,Needs Verification,Not yet verified - requires manual check,6
"Burten, Bell, Carr Development, Inc.",Needs Research,lburns@bbcdevelopment.org,Cleveland,https://www.linkedin.com/in/lucy-veres,Needs Verification,Not yet verified - requires manual check,1
CANAPI,canapi.org,info@canapi.org,Cleveland,https://www.linkedin.com/in/nichole-collins,Active,"Akron LGBT/HIV nonprofit, active",10
COSE,Needs Research,mkim@cose.org,Cleveland,https://www.linkedin.com/in/rhea-doria,Needs Verification,Not yet verified - requires manual check,3
COSE Council of Small Enterprises,Needs Research,info@cose.org,Cleveland,https://www.linkedin.com/in/anson-hall,Needs Verification,Not yet verified - requires manual check,2
CPR Trends,Needs Research,melindacook@cprtrends.com,Cleveland,https://www.linkedin.com/in/mrs-shannon,Needs Verification,Not yet verified - requires manual check,1
Call Management Resources,Needs Research,mriggle@cmrinc.com,Cleveland,https://www.linkedin.com/in/celena-zevnik,Needs Verification,Not yet verified - requires manual check,2
Camp Lilac,Needs Research,info@camplilac.org,Cleveland,https://www.linkedin.com/in/allison-baker,Needs Verification,Not yet verified - requires manual check,1
Candid,Needs Research,brian.schultz@candid.org,Cleveland,https://www.linkedin.com/in/leta-obertacz,Needs Verification,Not yet verified - requires manual check,1
"Carve Your Own Path, Inc.",Needs Research,amanda@cyopinc.org,Cleveland,https://www.linkedin.com/in/brittany-schultz,Needs Verification,Not yet verified - requires manual check,1
"Catharsis Counseling CLE, LLC",Needs Research,Kaleigh@CatharsisCLE.com,Cleveland,https://www.linkedin.com/in/todd-robinson,Needs Verification,Not yet verified - requires manual check,1
Cilantro Taqueria,Needs Research,tacoscilantro@gmail.com,Cleveland,https://www.linkedin.com/in/kate-rose,Needs Verification,Not yet verified - requires manual check,1
City Goods,Needs Research,LPainter@OhioCity.org,Cleveland,https://www.linkedin.com/in/brad-speck,Needs Verification,Not yet verified - requires manual check,1
Claw,Needs Research,Tim.k@clawinfo.org,Cleveland,https://www.linkedin.com/in/lisa-held,Needs Verification,Not yet verified - requires manual check,1
Clean Eatz - Cuyahoga Falls,Needs Research,Cfalls@cleaneatz.com,Cleveland,https://www.linkedin.com/in/forest-indra,Needs Verification,Not yet verified - requires manual check,1
Cleveland Massotherapy,Needs Research,bookings@clevelandmassotherapy.com,Cleveland,https://www.linkedin.com/in/gina-messina,Needs Verification,Not yet verified - requires manual check,1
Cleveland Pride Band,Needs Research,info@clevelandprideband.org,Cleveland,https://www.linkedin.com/in/brynn-popa,Needs Verification,Not yet verified - requires manual check,10
Cleveland Public Theatre,Needs Research,engagement@cptonline.org,Cleveland,https://www.linkedin.com/in/scott-latiolais,Needs Verification,Not yet verified - requires manual check,6
